"ROK","NAROZENI","OKRES","KRAJ","ID_KRAJ","ROK_JPZ"
"2007","839","Plzeň-sever","Plzeňský","CZ032",2022
"2007","471","Rokycany","Plzeňský","CZ032",2022
"2007","604","Tachov","Plzeňský","CZ032",2022
"2007","1093","Cheb","Karlovarský","CZ041",2022
"2007","1301","Karlovy Vary","Karlovarský","CZ041",2022
"2007","1044","Sokolov","Karlovarský","CZ041",2022
"2007","1627","Děčín","Ústecký","CZ042",2022
"2007","1402","Chomutov","Ústecký","CZ042",2022
"2007","1384","Litoměřice","Ústecký","CZ042",2022
"2007","999","Louny","Ústecký","CZ042",2022
"2007","1332","Most","Ústecký","CZ042",2022
"2007","1518","Teplice","Ústecký","CZ042",2022
"2007","1453","Ústí nad Labem","Ústecký","CZ042",2022
"2007","1294","Česká Lípa","Liberecký","CZ051",2022
"2007","996","Jablonec nad Nisou","Liberecký","CZ051",2022
"2007","1976","Liberec ","Liberecký","CZ051",2022
"2007","779","Semily","Liberecký","CZ051",2022
"2007","1751","Hradec Králové","Královéhradecký","CZ052",2022
"2007","892","Jičín","Královéhradecký","CZ052",2022
"2007","1225","Náchod","Královéhradecký","CZ052",2022
"2007","889","Rychnov nad Kněžnou","Královéhradecký","CZ052",2022
"2007","1365","Trutnov","Královéhradecký","CZ052",2022
"2007","1126","Chrudim","Pardubický","CZ053",2022
"2007","1836","Pardubice","Pardubický","CZ053",2022
"2007","1193","Svitavy","Pardubický","CZ053",2022
"2007","1554","Ústí nad Orlicí","Pardubický","CZ053",2022
"2007","1031","Havlíčkův Brod","Kraj Vysočina","CZ061",2022
"2007","1198","Jihlava","Kraj Vysočina","CZ061",2022
"2007","677","Pelhřimov","Kraj Vysočina","CZ061",2022
"2007","1179","Třebíč","Kraj Vysočina","CZ061",2022
"2007","1288","Žďár nad Sázavou","Kraj Vysočina","CZ061",2022
"2007","1127","Blansko","Jihomoravský","CZ062",2022
"2007","4209","Brno-město","Jihomoravský","CZ062",2022
"2007","2201","Brno-venkov","Jihomoravský","CZ062",2022
"2007","1076","Břeclav","Jihomoravský","CZ062",2022
"2007","1551","Hodonín","Jihomoravský","CZ062",2022
"2007","918","Vyškov","Jihomoravský","CZ062",2022
"2007","1289","Znojmo","Jihomoravský","CZ062",2022
"2007","416","Jeseník","Olomoucký","CZ071",2022
"2007","2559","Olomouc","Olomoucký","CZ071",2022
